Date,Item_Sales,Avg_Price,Max_Temp,Min_Temp,Avg_Temp,Precipitation,Store_Hours
2022-07-04,535.0,5.56985046728972,78.0,61.0,70.6,0.0,12.0
2022-07-05,268.0,5.539216417910448,72.0,63.0,66.9,0.0,12.0
2022-07-06,326.0,5.442914110429448,78.0,66.0,71.7,0.34,12.0
2022-07-07,339.0,5.517905604719764,78.0,0.0,66.3,0.0,12.0
2022-07-08,458.0,5.505851528384279,81.0,60.0,70.9,0.0,12.5
2022-07-09,408.0,5.644289215686274,79.0,64.0,71.1,0.0,12.5
2022-07-10,410.0,5.566829268292683,77.0,59.0,67.4,0.0,12.0
2022-07-11,310.0,5.523548387096774,80.0,56.0,69.5,0.0,12.0
2022-07-12,316.0,5.5137341772151895,84.0,62.0,71.6,0.0,12.0
2022-07-13,337.0,5.533353115727003,83.0,67.0,74.0,0.03,12.0
2022-07-14,330.0,5.564030303030304,80.0,0.0,67.8,0.88,12.0
2022-07-15,363.0,5.433691460055097,79.0,63.0,71.2,0.0,12.5
2022-07-16,327.0,5.573333333333333,78.0,62.0,70.6,0.0,12.5
2022-07-17,553.0,5.621717902350814,83.0,66.0,71.3,0.0,12.0
2022-07-18,258.0,5.5183333333333335,75.0,66.0,71.4,0.0,12.0
2022-07-19,312.0,5.340673076923077,85.0,69.0,74.4,0.93,12.0
2022-07-20,406.0,5.4178817733990146,89.0,0.0,76.8,0.0,12.0
2022-07-21,399.0,5.617593984962406,88.0,70.0,79.2,0.0,12.0
2022-07-22,420.0,5.474095238095238,87.0,70.0,79.1,0.0,12.5
2022-07-23,449.0,5.374966592427617,89.0,72.0,79.8,0.0,12.5
2022-07-24,510.0,5.56678431372549,91.0,69.0,81.8,0.0,12.0
2022-07-25,376.0,5.549255319148936,84.0,71.0,77.8,0.0,12.0
2022-07-26,304.0,5.520855263157895,74.0,63.0,68.6,0.01,12.0
2022-07-27,349.0,5.475759312320917,79.0,62.0,71.5,0.0,12.0
2022-07-28,432.0,5.431805555555555,83.0,65.0,74.3,0.0,12.0
2022-07-29,384.0,5.479817708333333,84.0,68.0,76.2,0.34,12.5
2022-07-30,319.0,5.666363636363636,80.0,67.0,73.7,0.0,12.5
2022-07-31,425.0,5.525623529411765,81.0,63.0,72.1,0.0,12.0
2022-08-01,323.0,5.363065015479876,77.0,66.0,70.2,0.1,12.0
